A b c	Bảng chữ cái
Appoint	Lập
Appositely	Thích hợp, đúng lúc
Appositive	Làm đồng vị ngữ
Appraisal	Sự định giá
Appraise	Định giá
Appraiser	Người định
Appreciate	Đánh giá
Apprehend	Bắt, tóm, nắm lấy
Apricot	Quả mơ
April	Tháng tư
Apron	Cái tạp dề
Apropos	Đúng lúc, thích hợp
Apse	Hậu cung
Apterygial	Không vây
Aquafortis	Nước khắc đồng
Aquatint	Thuật khắc axit
Aqueduct	Cống nước
Aqueous	Có nước
Aquicolous	Thủy sinh
Aquiline	Giống chim ưng
Aquiver	Run lẩy bẩy
Aquolysis	Sự thủy phân
Aquosity	Tính chất có nước
Arachnopia	Màng não
Arara	Cá nục
Arbalest	Cái nỏ, cái ná
Arbiter	Trọng tài
Arbitrable	Tùy ý
Arbitrage	Sự buôn chứng khoán
Arbitrary	Tuỳ ý
Arbitress	Bà trọng tài
Arbor	Cây
Arboreous	Có nhiều cây
Arboricide	Thuốc diệt cây gỗ
Arbour	Lùm cây
Arbuscle	Arbuscule
Arbuscular	Thuộc cây bụi
Arcade	Đường có mái vòm
Arcduchess	Công chúa nước Ao
Arch	Nhịp cuốn ở cầu
Archaic	Cổ xưa
Archaise	Dùng từ cổ
Archaism	Từ cổ
Archaize	Dùng từ cổ
Archbishop	Tổng giám mục
Archdeacon	Phó chủ giáo
Archegone	Túi chứa noãn
Archer	Người bắn cung
Archery	Thuật bắn cung
Archgonate	Có túi chứa noãn
Archiblast	Chất trứng
Archicarp	Quả noãn
Archicoel	Khoang nguyên thủy
Architect	Kiến trúc sư
Architype	Kiểu nguyên thủy
Archives	 kho lưu trữ
Archivist	Chuyên viên lưu trữ
Archly	Hóm hỉnh, láu
Archoplasm	Chất phân bào
Archway	Cổng tò vò
Arciform	Dạng cung
Arcnet	Tên mạng ARCnet
Arcuate	Giống hình cung
Arcuated	Giống hình cung
Ardency	Sự nóng cháy
Ardent	Cháy, nóng rực
Area	Diện tích
Areca nut	Quả cau
Areflexia	Chứng mất phản xạ
Arenaceous	Giống cát, có cát
Arenit	Đá cát
Areola	Núm
Areolae	Núm
Areolet	Quầng nhỏ
Argent	Màu bạc
Argenteum	Lớp bạc cá
Argentic	Có chứa bạc
Argentine	Bằng bạc
Argol	Cáu rượu
Argue	Phán đoán
Argufy	Tranh cãi quá mức
Argument	Lý luận, chứng minh
Argute	Tinh khôn, sắc sảo
Aridity	Sự khô cằn
Aridly	Khô khan, vô vị
Aridness	Sự khô cằn
Aright	Đúng
Ariled	Có áo hạt
Aristocrat	Người quý tộc
Arkosic	Thuộc acco
Armada	Đội tàu, hạm đội
Armament	Sự vũ trang
Armature	Phần động
Armband	Băng tay
Armchair	Ghế bành
Armed	Vũ trang
Armilla	Vòng đeo tay
Armistice	Sự đình chiến
Armless	Không có tay
Armlet	Băng tay
Armorer	Nhà sản xuất vũ khí
Armoured	Bọc sắt
Armourer	Nhà sản xuất vũ khí
Armoury	Kho vũ khí
Armpit	Nách
Armrest	Nơi cất vũ khí
Army	Quân đội
Aroma	Mùi thơm, hương vị
Aromatic	Thơm
Around	Xung quanh
Arouse	Đánh thức
Arpanet	Tên mạng ARPAnet
Arquebus	Súng hoả mai
Arraign	Thưa kiện
Arrange	Sắp xếp
Arrant	Hết sức, thậm đại
Arrears	Nợ còn khất lại
Arrest	Sự bắt giữ
Arrestee	Người bị bắt
Arrestment	Sự bắt giữ
Arrestor	Người bắt giữ
Arrival	Sự đến, sự tới nơi
Arriviste	Người mới phất
Arrogance	Vẻ ngạo mạn
Arrogant	Ngạo mạn
Arrogantly	Kiêu căng, ngạo mạn
Arroyo	Kênh, lạch
Arse	Inl]
Arteriole	Tiểu động mạch
Artful	Tinh ranh
Artfully	Khéo léo, sắc sảo
Artfulness	Sự tinh ranh
Arthopodan	Động vật chân khớp
Arthral	Thuộc khớp
Arthrous	Có khớp
Article	Bài báo
Articulate	Có khớp, có đốt
Artificial	Giả tạo
Artisan	Thợ thủ công
Artisanal	Thủ công
Artist	Nghệ sĩ
Artistdom	Giới nghệ thuật
Artwork	Đồ nghệ thuật
Arucola	Cây rau diếp
Arum lily	Hoa huệ trắng
Asbestine	Giống amiăng
Ascendancy	Uy thế, uy lực
Ascendant	Tăng lên
Ascendency	Uy thế, uy lực
Ascendent	Đang lên
Ascension	Sự tăng, sự tiến
Ascertain	Làm sáng tỏ
Ascetic	Khổ hạnh
Ascetical	Khổ hạnh
Asceticism	Sự tu khổ hạnh
Ascidial	Lá chén
Ascidian	Lớp hải tiêu
Ascocrap	Thể quả bào tử
Ascogenous	Sinh túi, sinh nan
Ascogone	Ascogonium
Ascribe	Đổ tại, đổ cho
Asemic	Không dấu vết
Aseptic	Vô trùng, vô khuẩn
Ashore	Vào bờ
Ashy	Có tro, đầy tro
Asia	Người châu A
Asian	Người châu á
Asidic	Khó chịu
Asininity	Sự ngu xuẩn
Askance	Về một bên, nghiêng
Askant	Về một bên, nghiêng
Askew	Nghiêng, xiên, lệch
Askewness	Tình trạng bị lệch
Aslant	Nghiêng, xiên
Asleep	Ngủ, đang ngủ
Aslope	Dốc nghiêng, dốc
Asocial	Phi xã hội
Aspect	Khía cạnh
Asperity	Tính cộc cằn
Asperse	Vảy, rảy, rưới
Aspersive	Bôi xấu, bôi nhọ
Aspersory	Bôi xấu, bôi nhọ
Asphalt	Nhựa đường
Asphyxiant	Chất làm ngạt
Asphyxiate	Làm ngạt
Aspidistra	Cây tỏi rừng
Assassin	Kẻ ám sát
Assaulter	Người tấn công
Assemblage	Tập hợp, sự lắp ráp
Assembler	Thợ lắp ráp
Assembling	Lắp ráp, tổ hợp
Assert	Bảo vệ
Assess	Đánh giá
Assessable	Có thể ước định
Assessment	Sự ước định
Assets	Tiền có
Assign	Chia phần
Assignable	Không ngẫu nhiên
Assignment	Phép gán
Assist	Giúp đỡ, tương trợ
Assistance	Sự giúp đỡ
Associable	Có thể liên tưởng
Associated	Liên kết
Assorted	Hỗn hợp, đủ loại
Assume	Thừa nhận
Assumed	Giả định
Assuming	Ra vẻ ta đây
Assurance	Sự bảo hiểm
Assurer	Người bảo hiểm
Assurgent	Lên
Astatic	Vô ổn định
Asterism	Chòm sao
Asteroid	Hình sao
Astir	Hoạt động
Astonish	Làm ngạc nhiên
Astral	Gồm những vì sao
Astray	Lạc đường, lạc lối
Astriction	Sự buộc chặt
Astrictive	Làm co
Astrodome	Đường hình sao
Astroid	Đường hình sao
Astrologer	Nhà chiêm tinh
Astrology	Thuật chiem tinh
Astrometer	Cái đo sao
Astrometry	Thuật đo sao
Astronomer	Nhà thiên văn học
Astronomy	Thiên văn học
Astucious	Tinh quái
Astute	Sắc sảo, tinh khôn
Astutely	Tinh ranh, láu lỉnh
Aswarm	Nhan nhản
Aswoon	Ngất đi
Asylum	Viện cứu tế
Asymmetric	Không đối xứng
Asymmetry	Tính không đối xứng
Asymptote	Đường tiệm cận
Asyndesis	Sự không kết hợp
Asynergia	Asynergy
Ataractic	Giảm đau
Ataxia	Sự mất điều hoà
Ataxy	Sự mất điều hoà
Ateleosis	Tật lùn
Atelomitic	Không đính thân
Atheism	Thuyết vô thần
Athirst	Khát
Athlete	Lực sĩ
Athletics	Thể thao
Athrepsia	Athrepsyn
Atingle	Hào hứng, sôi nổi
Atlas	Tập bản đồ
Atmosphere	Atmôtphe, khí quyển
Atoll	Đảo san hô vòng
Atom	Nguyên tử
Atom bomb	Bom nguyên tử
Atomicity	Tính nguyên tử
Atomise	Nguyên tử hoá
Atomiser	Bình phun, bình xịt
Atomism	Thuyết nguyên tử
Atomize	Nguyên tử hoá
Atomizer	Máy phun
Atomy	Nguyên tử
Atop	Ở đỉnh, ở chỏm
Atopy	Phản ứng đặc dị
Atremble	Run rẩy
Atresia	Sự hẹp lỗ
Atresis	Tịt lỗ
Atrial	Khoang tai ngoài
Atrium	Cửa
Atrophied	Teo, bị teo
Atrophy	Sự teo
Attach	Buộc chặt, cột chặt
Attached	Được buộc chặt
Attaché	Ngoại tuỳ viên
Attachment	Bộ móc nối
Attainable	Có thể đạt được
Attainment	Sự đạt được
Attar	Tinh dầu hoa hồng
Attemper	Làm bớt, làm dịu
Attempt	Sự cố gắng, sự thử
Attend	Dự, có mặt
Attendance	Sự dự, sự có mặt
Attendant	Tham dự, có mặt
Attender	Người tham dự
Attention	Sự chú ý
Attentive	Chăm chú
Attenuator	Máy giảm nhẹ
Atterminal	Hướng cuối
Attire	Đồ trang điểm
Attitude	Thái độ, quan điểm
Attractive	Hút
Attribute	Thuộc tính
Attrita	Đất bị mài mòn
Attrited	Bị cọ mòn
Attune	Làm cho hoà hợp
Atwitter	Rộn rịp, nhao nhác
Atypical	Không điển hình
Au fond	Về cơ bản
Au revoir	Chào tạm biệt
Aubrietia	Cây cải tím
Auction	Sự bán đấu giá
Auctioneer	Người bán đấu giá
Auctorial	Của một tác giả
Audacious	Gan, táo bạo
Audibly	Rõ ràng, rành rành
Audience	Bạn đọc, độc giả
Audiograph	Máy ghi sức nghe
Audiology	Thính học
Audiophone	Máy trợ thính
Audiphone	Máy tăng sức nghe
Audit	Thử, kiểm nghiệm
Audition	Thính giác
Aught	Cái gì
Augment	Tăng thêm, bổ sung
Augmented	Được tăng
Aurally	Bằng cách nghe
Aureate	Vàng ánh, màu vàng
Aureola	Hào quang
Aureole	Hào quang
Auricled	Có tai ngoài
Auriculate	Có tai
Auriferous	Có vàng
Auriform	Hình tai
Auriscope	Kính soi tai
Auspicious	Thuận lợi
Austerely	Khổ hạnh, khắc khổ
Austral	Nam
Autarchy	Chủ quyền tuyệt đối
Autarky	Sự tự cấp tự túc
Authentic	Xác thực
Authoress	Nữ tác giả
Authorship	Nghề viết văn
Autism	Tính tự kỷ
Autobus	Xe buýt
Autocar	Xe ô tô
Autochrome	Kính ảnh màu
Autochthon	Người bản địa
Autoclave	Nồi hấp
Autocracy	Chế độ chuyên quyền
Autocrat	Người chuyên quyền
Autocratic	Chuyên quyền
Autodidact	Người tự học
Autogamy	Sự tự giao
Autograph	Tự viết tay
Autography	Sự tự viết tay
Automat	Thiết bị tự động
Automate	Tự động hoá
Automatic	Máy tự động
Automatics	Tự động học
Automation	Kỹ thuật tự động
Automatism	Tính tự động
Automatize	Tự động hoá
Automaton	Máy tự động ôtômat
Automitic	Tự giao
Automixis	Sự tự giao
Automotive	Tự động
Autonomic	Tự trị
Autonomous	Ôtômôn
Autonomy	Quyền tự trị
Autophya	Chất tạo vỏ
Autoplasty	Tính tự ghép
Autoploid	Thể bội đồng tính
Autopodium	Chi
Autospore	Bào tử gốc
Autostrada	Autostrada
Autotelic	Tự thân
Autotilly	Sự tự rụng
Autotrace	Tự động dò vết
Autotype	Bản sao đúng
Autumn	Mùa thu
Auxiliary	Bổ trợ, phụ
Auxospore	Bào tử sinh trưởng
Avalanche	Thác điện tử
Avaricious	Hám lợi, tham lam
Avenge	Trả thù, báo thù
Avenue	Đại lộ
Averagely	Trung bình
Averaging	Sự lấy trung bình
Averse	Chống lại, ghét
Aversion	Ác cảm
Avert	Quay đi, ngoảnh đi
Aviarist	Người nuôi chim
Aviary	Chuồng chim
Aviatress	Nữ phi công
Aviatrice	Nữ phi công
Aviatrix	Nữ phi công
Aviculture	Nghề nuôi chim
Avocation	Việc lặt vặt
Avoid	Tránh, tránh xa
Avoidable	Có thể tránh được
Avouch	Đảm bảo
Avouchment	Sự đảm bảo
Avow	Thú nhận
Avowable	Có thể thú nhận
Avowal	Sự thú nhận
Await	Đợi, chờ đợi
Awaken	Thức, không ngủ
Awakening	Hành vi nhận thức
Awesome	Làm kinh hoàng
Awestruck	Kinh hoàng
Awful	Uy nghi, oai nghiêm
Awkward	Vụng về
Awkwardly	Vụng về
Awry	Xiên, méo, lệch
Axeman	Người dùng rìu
Axile	Gắn trụ
Axiology	Giá trị học
Axiom	Tiên đề
Axis	Trục
Axle	Trục
Axoid	Dạng trục
Axonometry	Trục lượng học
Axoplast	Hạt sợi trục
Axosomatic	Thuộc thể trục
Ayah	Người hầu gái
Azimuth	Góc cực
Azimuthal	Độ phương vị
Azoic	Vô sinh
Azoth	Thủy ngân
Azymic	Không lên men
Azymous	Không men
Babble	Nhiễu loạn
Babbler	Người hay bép xép
Baby	Trẻ thơ
Baby buggy	Xe đẩy trẻ con
Baby tooth	Răng sữa
Babyhood	Tuổi thơ
Baccate	Mềm như quả mọng
Bacciform	Hình quả mọng
Bachelor	Người chưa vợ
Bacilli	Khuẩn que
Bacillus	Khuẩn que
Bacitracin	Thuốc kháng sinh
Back out	Thủ tiêu
Backache	Chứng đau lưng
Backbiter	Kẻ
Backbone	Xương sống
Backfire	Phản ứng ngược
Backgammon	Cờ tào cáo
Background	Ưu tiên thấp
Backhanded	Trái, sấp tay
Backing	Sự ủng hộ
Backlog	Dự trữ
Backpacker	Du khách ba lô
Backside	Mông đít
Backslider	Kẻ tái phạm
Backstroke	Cú trái
Backswept	Nghiêng về phía sau
Backtalk	Trả treo
Backtrack	Quay về theo lối cũ
Backveld	Cũng backveldt
Backyard	Sân sau
Bacteria	Vi khuẩn
Bacterial	Do vi khuẩn
Bacterium	Vi khuẩn
Baddie	Cũng baddy
Baddish	Chẳng hay hớm gì
Badly	Xấu, tồi, dở, bậy
Badness	Sự xấu, sự tồi
Bagasse	Bã củ cải đường
Bagel	Chiếc nhẫn
Baggy	Phì ra
Bagman	Người đi chào hàng
Bagpiper	Người thổi kèn túi
Baguette	Đường viền chân
Bailer	Gàu tát nước
Bakehouse	Lò bánh mì
Baker	Người làm bánh mì
Bakery	Lò bánh mì
Balaam	Người đoán láo
Balanced	Được cân bằng
Balayage	Sự quyết
Balcony	Bao lơn
Balding	Bắt đầu hói
Balefully	Độc địa, tai hại
Balk	Sự cản trở
Ballade	Thơ balat
Ballet	Ba lê, kịch múa
Ballistic	Xạ kích
Ballistics	Khoa xạ kích
Balloon	Khí cầu, quả bóng
Ballooner	Người cưỡi khí cầu
Balloonist	Người cưỡi khí cầu
Ballot	Lá phiếu
Ballpark	Sân chơi bóng chày
Ballpoint	Bút bi
Ballroom	Phòng khiêu vũ
Balls	Hột dái
Ballyhoo	Sự làm rùm beng
Balm	Nhựa thơm, bôm
Balmily	Thơm, thơm ngát
Balmy	Thơm, thơm ngát
Balsam	Nhựa, thơm, bôm
Balsamic	Có chất nhựa thơm
Baluster	Lan can
Bamboo	Cây tre
Bameal	Thuộc việc tắm rửa
Banal	Sáo, vô vị
Banana oil	Dầu chuối
Band	Dải băng bó
Bandaid	Một loại cao dán
Bandbox	Hộp bìa cứng
Banded	Đầu thắt giải buộc
Banderol	Băng biểu ngữ
Banderole	Băng biểu ngữ
Bandit	Kẻ cướp
Banditti	Kẻ cướp
Bandog	Chó bị xích
Bandoline	Gôm chải râu mép
Bandsman	Nhạc sĩ dàn nhạc
Bandstand	Bục dàn nhạc
Bane	Nguyên nhân suy sụp
Baneful	Tai hại, xấu
Banefully	Tai hại, xấu xa
Bang	Tóc cắt ngang trán
Banger	Xúc xích
Banian	Nhà buôn người Ân
Banish	Đày đi, trục xuất
Banister	Lan can
Bank	Ngân hàng
Bank draft	Hối phiếu ngân hàng
Bank rate	Lãi suất ngân hàng
Banking	Công việc ngân hàng
Banknote	Giấy bạc
Bankroll	Quỹ
Banquet	Tiệc lớn
Banqueter	Người dự tiệc lớn
Bantam	Gà bantam
Bantering	Đùa bỡn
Banyan	Nhà buôn người Ân
Barbarian	Dã man, man rợ
Barbaric	Dã man, man rợ
Barbarity	Hành động dã man
Barbarous	Dã man, man rợ
Barbate	Có gai
Barbed	Có gai
Barbell	Thanh tạ
Barcode	Mã vạch, sọc mã số
Barebacked	Ở trần
Barefaced	Mày râu nhẵn nhụi
Barefoot	Chân không
Barefooted	Chân không
Barege	Vải nhung
Bareheaded	Để đầu trần
Barelegged	Để chân trần
Barely	Công khai, rõ ràng
Baresark	Không có áo giáp
Bargain	Giao kèo mua bán
Bargainer	Người mặc cả
Barge	Sà lan
Bargee	Người coi sà lan
Bargeman	Người coi sà lan
Bargraph	Đồ thị dải
Barie	Thanh, thỏi
Bark	Tiếng sủa
Barker	Chó sủa
Barkery	Nhà máy thuộc da
Barking	Tiếng sủa
Barky	Có vỏ
Barley	Lúa mạch
Barleycorn	Hạt lúa mạch
Barmy	Có men, lên men
Barn	Kho thóc
Barney	Cãi nhau
Baron	Nam tước
Baronage	Hàng nam tước
Baroness	Nam tước phu nhân
Baronet	Tòng nam tước
Baronetage	Tước huân
Baronetcy	Tước tòng nam
Baroque	Kỳ dị, lố bịch
Barouche	Xe ngựa bốn bánh
Barque	Thuyền ba buồm
Barracks	Doanh trại
Barrage	Chướng ngại vật
Barred	Có vạch kẻ dọc
Barrel	Thể viên trụ
Barrelled	Hình thùng
Barrenness	Sự cằn cỗi
Barring	Trừ, trừ ra
Barrister	Luật sư
Barter	Sự đổi chác
Basal	Cơ bản, cơ sở
Baseline	Đường quét
Basely	Khúm núm, quỵ luỵ
Bases	Nền tảng, cơ sở
Bash	Cú đánh mạnh
Bashfully	Rụt rè, e thẹn
Basic	Cơ sở, cốt yếu
Basically	Cơ bản, về cơ bản
Basilar	Ở đáy, ở nền
Basilary	Ở đáy, ở nền
Basin	Cái chậu
Basis	Cơ sở
Bask	Phơi nắng, tắm nắng
Basketry	Nghề đan rổ rá
Basketwork	Nghề đan rổ rá
Bastadry	Hành vi độc ác
Bastille	Nhà tù, ngục
Bastion	Pháo đài, thành luỹ
Batata	Khoai lang
Batching	Đình liều lượng
Bated	Bated
Bath	Sự tắm
Bathing	Sự tắm rửa
Bathometer	Máy đo sâu
Bathos	Chỗ sâu, vực thẳm
Bathrobe	Thành ngữ bath
Bathroom	Thành ngữ bath
Bating	Trừ, trừ ra
Batiste	Phin nõn
Bats	Điên khùng
Battered	Méo mó, mòn vẹt
Battle	Cuộc chiến đấu
Baulk	Sự cản trở
Bawd	Trùm nhà thổ
Bawdily	Tục tựu
Bawdy	Tục tĩu dâm ô
Bawdyhouse	Nhà thổ
Bawl	Tiếng nói oang oang
Bay leaf	Lá nguyệt quế
Bayou	Nhánh sông
Beacon	Đài radda
Beading	Sự xâu thành chuỗi
Beagle	Chó săn thỏ
Beaked	Có mỏ
Bean	Đậu
Bean pole	Cọc cho đậu leo
Bearded	Có râu
Beardless	Không có râu
Bearer	Vật chống đỡ
Bear's cub	Gấu con
Beargarden	Cảnh ồn ào hỗn độn
Bearing	Góc phương vị
Bearish	Thô lỗ, cục cằn
Bearleader	Người dạy gấu
Bearskin	Da gấu
Beast	Thú vật, súc vật
Beastly	Hung bạo
Beat	Phách
Beatitude	Phúc lớn
Beautiful	Hay
Beautify	Làm đẹp, tô điểm
Became	Trở nên, trở thành
Because	Vì, bởi vì
Bechamel	Nước xốt bêsamen
Becloud	Che, án
Become	Trở nên
Bedable	Làm bẩn, vấy bẩn
Bedder	Người đánh luống
Bedeck	Trang điểm
Bedew	Làm ướt đẫm
Bedfellow	Người cùng phe
Bedgown	Áo ngủ của nữ
Bedlamite	Người điên
Bedpost	Cột giường
Bedrabbled	Vấy bùn
Bedrail	Thành giường
Bedroll	Giường xếp
Bedroom	Buồng ngủ
Bedside	Cạnh giường
Bedspread	Khăn trải giường
Bedstead	Khung giường
Bedtime	Giờ đi ngủ
Beef	Thịt bò
Beef tea	Nước thịt bò hầm
Beefburger	Thịt bò băm viên
Beefsteak	Thịt bít tết
Beehive	Tổ ong
Been	Thì, là
Beer	Rượu bia
Beerhouse	Quán bia
Beery	Giống bia
Beeswing	Cặn rượu để lâu năm
Beetle	Cái chày
Beetling	Cheo leo, nhô ra
Beetroot	Củ cải đường
Beeves	Thịt bò
Befall	Xảy đến, xảy ra
Befallen	Xảy đến, xảy ra
Befell	Xảy đến, xảy ra
Befit	Thích hợp, hợp với
Befitting	Thích hợp, hợp với
Befog	Phủ sương mù
Before	Trước, đằng trước
Beforehand	Sẵn sàng trước
Befriend	Giúp đỡ
Beft	Đới đai
Beget	Sinh ra, gây ra
Beggarly	Ăn mày, ăn xin
Beginner	Người mới vào nghề
Begot	Sinh ra, gây ra
Begotten	Sinh ra, gây ra
Begrime	Làm nhọ nhem
Begrudge	Ghen tị
Beguiling	Lý thú, hấp dẫn
Behavior	Hành vi, trạng thái
Behaviour	Cách xử lý, chế độ
Behead	Chặt đầu, chém đầu
Beheld	Nhìn ngắm
Behemoth	Con vật kếch xù
Behind	Sau, ở đằng sau
Behold	Nhìn ngắm
Beholden	Chịu ơn
Beholder	Khán giả
Behoove	Phải có nhiệm vụ
Behove	Phải có nhiệm vụ
Beige	Vải len mộc
Being	Con người
Belated	Đến muộn, đến chậm
Belatedly	Chậm, muộn
Belch	Sự ợ
Belcher	Khăn quàng hai màu
Beleaguer	Vây, bao vây
Belfry	Tháp chuông
Belie	Làm cho nhầm
Belief	Sự tin tưởng
Believable	Có thể tin được
Believably	Đáng tin
Believe	Tin, tin tưởng
Believer	Người tin, tín đồ
Belletrist	Nhà văn học
Bellied	Bellied
Belly	Dạ dày
Belong	Thuộc về
Below	Dưới
Belting	Trận đòn
Belvedere	Tháp lầu
Bemire	Vấy bùn
Bemuse	Làm điếng người
Bench	Ghế dài
Benchmark	Kiểm chuẩn
Bend	Uốn cong
Bending	Sự uốn
Beneath	Ở dưới thấp, ở dưới
Benedick	Người mới cưới vợ
Benefactor	Ân nhân
Beneficial	Tốt
Benefit	Lợi, lợi ích
Benign	Nhân từ
Benignant	Nhân từ
Benthamite	Người vị lợi
Benumb	Làm cho cóng
Berate	Mắng mỏ, nhiếc móc
Bereave	Lấy mất, lấy đi
Bereft	Lấy mất, lấy đi
Beret	Núi băng
Bergamot	Cam becgamôt
Berserk	Nổi quạu, cáu tiết
Beseem	Thích hợp, hợp lẽ
Besetting	Ám ảnh, nhằng nhẵng
Beside	Bên, bên cạnh
Besieger	Người bao vây
Besom	Chổi sể
Bespangle	Dát trang kim
Besprinkle	Vảy, rắc, rải
Best	Tốt nhất, tối ưu
Best man	Người phù rể
Bestiality	Thú tính
Bestir	Khuấy động
Bestowal	Sự tặng, sự cho
Bestrew	Rắc, rải, vãi
Bestrewn	Rắc, rải, vãi
Bestrid	Bắc qua, bắc ngang
Bestridden	Bắc qua, bắc ngang
Bestride	Bắc qua, bắc ngang
Bestrode	Bắc qua, bắc ngang
Bethink	Nhớ ra, nghĩ ra
Bethought	Nhớ ra, nghĩ ra
Betid	Xảy đến, xảy ra
Betide	Xảy đến, xảy ra
Betimes	Sớm
Betoken	Báo hiệu, chỉ rõ
Beton	Bê tông
Betrayal	Sự phản bội
Betrayer	Kẻ phản bội
Betroth	Hứa hôn, đính hôn
Betrothal	Sự hứa hôn
Betting	Sự đánh cuộc
Between	Giữa
Bevel	Góc nghiêng
Beverage	Đồ uống
Beware	Đề phòng
Bewilder	Làm ngơ ngác
Bewitch	Bỏ bùa mê
Bhang	Cây gai dầu
Biangular	Có hai góc
Biannual	Một năm hai lần
Biannually	Một năm hai lần
Biased	Không đối xứng
