A b c	Bảng chữ cái
Allegorize	Phúng dụ, nói bóng, ngụ ý
Allegory	Phúng dụ, lời nói bóng
Allelism	Quan hệ alen
Allelogene	Gen tương ứng
Allelotype	Kiểu tương ứng
Alleluia	Bài hát ca ngợi Chúa
Allemande	Điệu múa dân gian Đức
Allergen	Dị ứng nguyên
Alleviator	Người an ủi, nguồn an ủi
Alley	Ngõ hẻm, phố hẻm
Alleyway	Xem alley
Allhallows	Như All Saints' Day
Allied	Liên minh, đồng minh
Alligator	Cá sấu Mỹ
Alliterate	Lặp lại âm đầu
All-hail	Interj
All-in	Bao gồm tất cả
All-night	Thâu đêm suốt sáng, suốt đêm
All-out	Dốc hết sức, dốc toàn lực
All-round	Toàn diện, toàn năng
All-steel	Toàn bằng thép
All-wool	Toàn bằng len
Allobiosis	Tính phản ứng theo môi trường
Allocable	Xem allocate
Allocarp	Quả lai giống
Allocarpic	Tính tạo quả lai giống
Allocate	Sắp xếp, phân bố
Allocation	Sự sắp xếp, sự phân bố
Allochroic	Thay đổi màu
Allomeric	Khác chất
Allomerism	Tính chất khác
Allomerous	Xem allomeric
Allorhizal	Có bộ rễ đối ngọn
Allosomal	Thuộc thể nhiễm sắc giới tính
Allotropic	Khác hình
Allotropy	Tính khác hình
Allottee	Người được nhận phần chia
Allotter	Xem allot
Allow	Cho phép để cho
Allowable	Thừa nhận được
Allowably	Xem allow
Allowance	Tiền hoa hồng
Allowedly	Được cho phép
Allsome	Thể nhiễm sắc giới tính
Allude	Nói bóng gió, ám chỉ
Allure	Duyên
Allurer	Xem allure
Alluring	Làm say mê, làm xiêu lòng
Alluringly	Xem allure
Allusion	Sự nói bóng gió, sự ám chỉ
Allusively	Xem allusive
Alluvia	Bồi tích, đất bồi, đất phù sa
Alluvium	Bồi tích, đất bồi, đất phù sa
Alma	Vũ nữ Ai-cập
Almagest	Sách luyện giả kim
Almah	Vũ nữ Ai-cập
Almanac	Niên lịch, niên giám
Almanack	Niên lịch, niên giám
Almond	Quả hạnh
Almoner	Người phát chẩn
Almonry	Nơi phát chẩn
Almost	Hầu như, gần như
Alms-deed	Việc từ thiện
Alms-giver	Người bố thí
Alms-house	Nhà tế bần
Aloetic	Xem aloe
Aloft	Cao, ở trên cao
Aloha	Interj
Along	Theo chiều dài, suốt theo
Aloof	Ở xa, tách xa
Aloofly	Xem aloof
Aloofness	Sự tách ra
Alopecic	Xem alopecia
Aloud	Lớn tiếng to
Alpenhorn	Tù và mục đồng trên núi
Alphabet	Bằng chữ cái, bằng chữ
Alpinism	Xem alpinist
Alpinist	Người leo núi
Already	Đã... rồi
Alsatian	Chó An sát, chó bec giê Đức
Also	Cũng, cũng vậy, cũng thế
Altar	Bàn thờ, bệ thờ, án thờ
Alter	Hiệu chỉnh
Alterably	Xem alterable
Alterative	Làm thay đổi, làm biến đổi
Alternate	Đan dấu
Alterne	Thực bì luân phiên
Alternion	Anteniôn
Althaea	Cũng althea
Altho	Although
Although	Dẫu cho, mặc dù
Altimetric	Xem altimeter
Altimetry	Xem altimeter
Altisonant	Khoa trương
Altitude	Chiều cao, độ cao
Alto	Giọng nam cao
Altogether	Hoàn toàn, hầu
Altricial	Không tự kiếm mồi sớm
Altruism	Chủ nghĩa vị tha
Alula	Số nhiều alulae
Alum	Phèn
Aluminium	Nhôm
Aluminous	Có phèn
Alutaceous	Có màu nâu-vàng nhạt
Alveated	Kết dạng lỗ tổ ong
Alveolate	Có lỗ như tổ ong
Alveoli	Hốc nhỏ, ổ
Alveolitis	Chứng viêm phế nang
Alveolus	Hốc nhỏ, ổ
A-bomb	Bom nguyên tử
A-pac-thai	Apartheid
A-power	Năng lượng nguyên tử
A-side	Mặt chính của dĩa hát
Amadu	Bùi nhùi
Amalgam	Sự hỗn hợp, hỗn hống
Amanthium	Quần thực vật trên cát
Amanuenses	Người biên chép, người thư ký
Amanuensis	Người biên chép, người thư ký
Amaryllis	Hoa loa kèn đỏ
Amassable	Xem amass
Amasser	Xem amass
Amassment	Sự tích luỹ, sự cóp nhặt
Amateur	Người ham chuộng
Amative	Đa tình, thích yêu đương
Amatively	Xem amative
Amatory	Yêu đương, biểu lộ tình yêu
Amaurotic	Xem amaurosis
Amazedness	Xem amaze
Amazingly	Đáng kinh ngạc, đến không ngờ
Ambages	Thủ đoạn quanh co
Ambassador	Đại sứ
Amber	Hổ phách
Ambergris	Long diên hương
Ambidexter	Thuận cả hai tay
Ambiguity	Tính] nhập nhằng
Ambiparous	Có mầm hoa lá
Ambisexual	Lưỡng tính
Ambit	Đường bao quanh, chu vi
Ambition	Hoài bão, khát vọng
Ambivalent	Có mâu thuẫn trong tư tưởng
Amble	Nước kiệu
Ambler	Ngựa đi nước kiệu
Amblyopic	Bị giảm sức nhìn
Ambon	Vòng sụn
Ambosexual	Lưỡng tính
Ambsace	Vận rủi ro
Ambulacra	Chân ống vận động
Ambulacrum	Chân ống vận động
Ambulance	Xe cứu thương, xe cấp cứu
Ambuscade	Phục kích, mai phục
Ambuscader	Xem ambuscade
Ambush	Cuộc phục kích, cuộc mai phục
Ambusher	Xem ambush
Amebocyte	Bạch cầu
Ameboid	Di động theo kiểu amip
Ameer	Êmia, thủ lĩnh đạo Ixlam
Ameiosis	Sự không giảm phân
Ameiotic	Không giảm phân
Ameliorate	Làm tốt hơn, cải thiện
Amenable	Phải chịu, đáng chịu
Amenably	Tuân theo, theo đúng
Amendment	Sự cải tà quy chánh
Amends	Sự đền bù, sự bù lại
Amenity	Tính nhã nhặn, tính hoà nhã
Amentia	Sự ngu si, sự đần độn
Amerce	Bắt nộp phạt, phạt vạ
Amerceable	Xem amerce
Amercement	Sự bắt nộp phạt, sự phạt vạ
Americana	Bộ sưu tập văn minh Mỹ
Amerind	Người Et-ki-mô
Ameristic	Không chia đốt
Amerospore	Bào tử đơn màng
Ametrous	Không tử cung
Amiability	Sự tử tế, sự tốt bụng
Amiable	Tử tế, tốt bụng
Amiably	Tử tế, hoà nhã, đáng yêu
Amicable	Thân ái, thân mật, thân tình
Amicably	Thân thiện, thân tình
Amicron	Phần tử cực nhỏ
Amidic	Xem amide
Amidot	Xem amide
Amiga	Tên dòng máy tính Amiga
Amigo	Số nhiều amigos
Amination	Sự tạo nhóm amin
Amino acid	Axit amin
Amir	Tiểu vương xứ A Rập
Amiss	Bậy
Amitotic	Trực phân
Amity	Quan hệ thân thiện
Amixia	Sự không sinh sản do lai tréo
Amixis	Sự không giao phối
Ammino	Thuộc amin
Ammoniacal	Có tính chất amoniac
Ammonify	Amoni hoá
Ammonitic	Xem ammonite
Ammunition	Đạn dược
Amnesia	Chứng quên
Amnesiac	Xem amnesia
Amnestic	Xem amnesia
Amnesty	Sự ân xá
Amnionic	Thuộc màng ối
Amniote	Động vật có màng ối
Amniotic	Xem amnion
Amoeba	Amip
Amoebae	Amip
Amoebiasis	Bệnh do amip gây nên
Amoebic	Như amip
Amoeboid	Di động theo kiểu amip
Amok	Như một người điên cuồng lên
Among	Trong số
Amongst	Giữa, ở giữa
Amoral	Ngoài phạm vi luân lý
Amoralism	Xem amoral
Amorality	Xem amoral
Amorally	Xem amoral
Amorist	Người ham dục tình
Amorous	Say đắm
Amorously	Say đắm, đắm đuối
Amorphic	Không định hình
Amount	Số lượng, lượng
Amourette	Chuyện yêu đương lăng nhăng
Ampersand	Ký hiệu &
Amphiaster	Thể hai sao, thể sao kép
Amphinema	Tơ kép, sợi kép
Amphioxi	Số nhiều của amphioxus
Amphitryon	Người thết tiệc
Amphoral	Xem amphora
Amphoric	Như thổi qua cái vò
Ample	Đủ đáp ứng, phong phú
Amplectant	Bám quanh
Ampleness	Sự rộng, sự lụng thụng
Amplifier	Pulse a. máy khuếch đại xung
Amplify	Khuếch đại
Amply	Dư dả, đầy đủ
Ampule	Ampun, ống thuốc tiêm
Ampullar	Xem ampulla
Amputator	Người cắt cụt
Amuck	Như một người điên cuồng lên
Amulet	Bùa
Amuse	Giải trí, tiêu khiển
Amuser	Xem amuse
Amusing	Giải trí, tiêu khiển
Amusingly	Xem amusing
Amydala	Số nhiều amydalae
Amydalin	Amiđalin
Amygdalic	Giống hạt hạnh
Amygdaloid	Tựa hạt hạnh
Amylase	Amilaza
Amyloid	Dạng tinh bột
Amylolysis	Sự phân giải tinh bột
Amylome	Mô mềm chứa tinh bột
Amyloplast	Hạt bột
Amylose	Chất tạo tinh bột
Amyotrophy	Như amyotrophia
A.d.	Sau công nguyên
Anabaptism	Sự làm lễ rửa tội lại
Anabaptist	Người làm lễ rửa tội lại
Anabiotic	Xem anabiosis
Anabolite	Chất đồng hoá
Anaclastic	Có tính khúc xạ
Anacolutha	Câu văn mất liên tục
Anacusia	Cũng anacusis
Anadem	Vòng hoa
Anaemic	Xanh xao vì thiếu máu
Anaerobian	Kỵ khí
Anaerobic	Kỵ khí
Anaglyph	Đồ chạm nổi thấp
Anaglyptic	Xem anaglyph
Anakinetic	Tạo nhiệt
Analecta	Sách văn tuyển
Analectic	Xem analects
Analects	Sách văn tuyển
Anally	Xem anal
Analog	Tương tự
Analogise	Biểu thị bằng sự giống nhau
Analogist	Người dùng phép loại suy
Analogize	Biểu thị bằng sự giống nhau
Analogue	Sự tương tự, hệ mô hình hoá
Analogus	Tương tự
Analphabet	Người mù chữ
Analysand	Người làm phân tâm học
Analyses	Sự phân tích
Analysis	Sự phân tích
Analytical	Dùng phép phân tích
Analytics	Môn phân tích
Analyzable	Xem analyze
Analyze	Phân tích
Analyzer	Phân tích
Anamnesis	Ký ức
Anamnestic	Xem anamnesis
Anamnia	Anamniote
Ananias	Người nói dối, kẻ điêu ngoa
Anapolysis	Liền đốt
Anarchic	Vô chính phủ
Anarchical	Vô chính phủ
Anarchism	Chủ nghĩa vô chính phủ
Anarchy	Tình trạng vô chính phủ
Anastigmat	Kính chính thị, cái anaxtimat
Anastral	Không thể sao
Anathema	Lời nguyền rủa
Anatomise	Mổ xẻ, giải phẫu
Anatomist	Nhà mổ xẻ, nhà giải phẫu
Anatomize	Mổ xẻ, giải phẫu
Anatomy	Thuật mổ xẻ
Anatoxin	Giải độc tố
Anatta	Màu cá vàng
Anatto	Màu cá vàng
Anaxial	Không đối xứng
Ancestor	Ông bà, tổ tiên
Ancestral	Di truyền
Ancestress	Bà, tổ mẫu
Ancestry	Tổ tiên, tổ tông, tông môn
Anchorage	Sự thả neo, sự bỏ neo, sự đạu
Anchored	Đậu, tả neo
Anchoress	Người đàn bà ở ẩn, nữ ẩn sĩ
Anchoret	Người ở ẩn, ẩn sĩ
Anchorite	Người ở ẩn, ẩn sĩ
Anchoritic	Xem anchorite
Anchorless	Không có neo
Anchylose	Làm cứng khớp
Anciently	Xem ancient
Ancillary	Bổ sung, phụ thuộc
Ancipital	Ancipitous
Ancistroid	Dạng ngạnh
Anconeal	Thuộc khủyu tay
Anconeus	Cơ khủyu
Ancress	Người đàn bà ở ẩn, nữ ẩn sĩ
Andalusian	Thuộc giống ngựa Arđaluxia
Andric	Nhị
Androecial	Xem androecium
Androgamic	Thụ tinh
Androgen	Hocmon nam
Androgenic	Xem androgen
Androgyne	Người ái nam ái nữ
Androgyny	Xem androgynous
Androphore	Cuống túi đực
Androsome	Thể đực
Androspore	Bào tử đực
Anecdotage	Chuyện vặt, giai thoại
Anecdote	Chuyện vặt, giai thoại
Anechoic	Không có tiếng vọng lại
Anele	Bôi dầu, thoa dầu
Anemic	Xanh xao vì thiếu máu
Anemically	Xem anemic
Anemogamic	Anemogamous
Anemogamy	Tính thụ phấn nhờ gió
Anemogram	Biểu đồ gió
Anemometry	Phép đo gió
Anemophily	Cách thụ phấn nhờ gió
Anemoscope	Máy nghiệm gió
Anemotaxis	Tính theo gió
Anenterous	Không ruột
Anergia	Cũng anergy
Anesthesia	Sự mất cảm giác
Anestrum	Thời kỳ đình dục
Aneurine	Cũng aneurin
Aneuronic	Không phân bố thần kinh
Anew	Bằng cách khác
Angel	Đạo thường hồ ba [TQ]
Angel cake	Bánh ngọt nhẹ xốp
Angel fish	Cá có vây như cánh
Angelic	Siêu nhân
Angelical	Siêu nhân
Angelology	Thiên sử học
Anger	Mối giận
Anginal	Xem angina
Angioblast	Nguyên bào mạch
Angiocarp	Quả bọc, quả kín
Angle	Góc
Angled	Có góc, có góc cạnh
Angle-wise	Có góc, có góc cạnh
Angler	Người câu cá
Angleworm	Giun làm mồi câu
Anglice	Bằng tiếng Anh
Anglicise	Anh hoá
Anglicism	Từ ngữ đặc Anh
Anglicize	Anh hoá
Angling	Sự đi câu cá
Anglomania	Sự sùng Anh
Anglophile	Thân Anh
Anglophobe	Bài Anh
Anglophone	Nói tiếng Anh
Angrily	Tức giận, giận dữ
Angry	Giận, tức giận, cáu
Anguine	Như rắn
Anguished	Đau khổ
Angularity	Sự có góc, sự thành góc
Angularly	Có góc, có góc cạnh
Angulate	Có góc, có góc cạnh
Angulately	Xem angulate
Angulous	Có góc
Anharmonic	Phi điều hoà, kép
Anigh	Gần
Anil	Cây chàm
Anile	Có tính bà già
Animal	Động vật, thú vật
Animalcule	Vi động vật
Animalise	Động vật hoá
Animalism	Tính động vật, tính thú
Animalist	Kẻ cho thuyết người là thú
Animality	Tính động vật, tính thú
Animalize	Động vật hoá
Animalness	Tính động vật, tính thú vật
Animate	Có sinh khí, có sức sống
Animated	Đầy sức sống, đầy sinh khí
Animatedly	Xem animated
Animosity	Tình trạng thù địch
Animus	Tinh thần phấn chấn
Anionic	Xem anion
Aniseed	Hạt anit
Anisette	Rượu anit
Anisocoria	Đồng tử không đều
Anisogamy	Hiện tượng bất đẳng giao
Anisogene	Gen không đồng nhất
Anisoploid	Có số bội lẻ
Anisospore	Bào tử không đều
Ankle	Mắt cá chân
Ankylosis	Chứng cứng liền khớp
Ankyroid	Dạng neo
Anlace	Kiếm ngắn
Anlage	Số nhiều anlagen hay anlages
Annalist	Người chép sử biên niên
Annatto	Màu vàng đỏ
Annectent	Kết hợp, để liên kết, nối
Annex	Phụ vào, phụ thêm, thêm vào
Annexable	Có thể phụ thêm vào, phụ lục
Annexation	Sự thêm vào
Annexe	Phụ vào, phụ thêm, thêm vào
Annotative	Xem annotate
Announce	Báo, loan báo, thông tri
Announcer	Xướng ngôn viên
Annoy	Chọc tức, làm cho tức giận
Annoyed	Bị trái ý, khó chịu, bực mình
Annoying	Chọc tức
Annoyingly	Xem annoying
Annual	Hàng năm, năm một, từng năm
Annually	Hàng năm, năm một
Annuitant	Người có trợ cấp hàng năm
Annul	Làm triệt tiêu
Annular	Có hình khuyên
Annulation	Sự kết thành vòng
Annuloid	Dạng vòng
Annulus	Hình khuyên
Annunciate	Loan báo, báo cho biết
Anode	Anôt, dương cực
Anoestrous	Thời kỳ đình dục
Anoint	Xức dầu, thoa dầu, bôi dầu
Anomal	Điều] dị thường
Anomalous	Dị thường, bất thường
Anomaly	Vật dị thường, tật dị thường
Anomie	Như anomy
Anon	Lập tức, tức thì, tức khắc
Anonym	Biệt hiệu, bí danh
Anonymity	Tình trạng nặc danh
Anonymous	Nặc danh
Anopheline	Xem anopheles
Anopubic	Thuộc hậu môn-mu
Anormalous	Khác thường
Anosmic	Xem anosmia
Anospinal	Thuộc hậu môn dây sống
Another	Khác
Anoxic	Xem anoxia
Ansate	Có quai
Ansiform	Dạng quai
Answer	Nhận
Answerable	Có thể trả lời được
Answerably	Xem answerable
Answerer	Người trả lời, người đáp lại
Anta	Số nhiều antae
Antagonism	Sự phản kháng
Antagonist	Vật đối kháng
Antapex	Đối đỉnh
Antarctic	Ở về phía Nam cực
Anteapical	Đối ngọn
Antechoir	Bộ phận trước chỗ đồng ca
Antecoxa	Mảnh trước háng
Antecoxal	Thuộc mảnh trước háng
Antedate	Ngày tháng để lùi về trước
Antedorsal	Trước lưng
Antefrons	Mảnh kề trán
Antehill	Tổ kiến
Antelabrum	Mảnh trước môi
Ante-room	Phòng trước, phòng ngoài
Ante-war	Trước chiến tranh
Antemetics	Thuốc chống nôn
Antenatal	Trước khi sinh, trước khi đẻ
Antenna	Anten
Antennifer	Hốc râu
Anteriorly	Xem anterior
Anteroom	Phòng chờ
Antheap	Tổ kiến
Anthela	Cụm hoa sim
Anthem	Bài hát vui
Anthophagy	Sự sống bằng ăn hoa
Anthophily	Tính thích hoa
Anthophore	Cuống hoa
Anthophyte	Thực vật có hoa
Anthozoa	San hô
Anthracite	Antraxit
Anthropeic	Do ảnh hưởng của người
Anthropic	Anthropical
Anthropoid	Dạng người
Anti	Chống lại
Antialien	Bài ngoại
Antianemic	Chống thiếu máu
Antiauxin	Chất kháng auxin
Antibiosis	Sự kháng sinh
Antibiotic	Kháng sinh
Antibody	Thể kháng
Antically	Xem antic
Anticancer	Anticancerous
Antichist	Kẻ thù chúa Giê-xu
Antichurch	Chống lại nhà thờ
Anticipate	Thấy trước vấn đề, đoán trước
Anticlimax	Sự giảm xuống
Anticosine	Accosin
Antidotal	Giải độc
Antidote	Thuốc giải độc
Antiemetic	Thuốc chống nôn mửa
Antienzyme	Antienzim
Antifebrin	Hạ sốt
Antiform	Phản dạng
Antifraud	Chống gian lận
Antigen	Kháng nguyên
Antigenic	Xem antigen
Antigenus	Đối giống
Antigeny	Tính lưỡng hình sinh dục
Antigrowth	Chống sự sinh trưởng
Antihero	Nam nhân vật phản diện
Antihuman	Phản nhân đạo, phản nhân văn
Antileft	Chống hữu
Antilobium	Gờ loa tai
Antilog	Xem antilogarithm
Antilogy	Ý nghĩa mâu thuẫn
Anti-hero	Nhân vật phản diện
Anti-icer	Chất chống đóng băng
Anti-icing	Chống đóng băng
Anti-nazi	Chống quốc xã
Anti-rabic	Phòng bệnh dại
Anti-rust	Chống gỉ
Anti-trade	Thổi ngược lại gió alizê
Antimatter	Phản vật chất
Antimere	Đoạn đối xứng
Antimiotic	Kìm hãm gián phân
Antimorph	Gen đối
Antimycin	Kháng thể
Antinode	Bụng
Antinomian	Ngườii chống đạo lý
Antinomic	Mâu thuẫn giữa hai luật pháp
Antinomy	Nghịch lý
Antipapal	Chống giáo hoàng
Antiparty	Chống đảng
Antipasto	Số nhiều antipastos
Antipathic	Có ác cảm
Antipathy	Ác cảm
Antipepsin	Chất kháng nguyên
Antiphon	Bài thánh ca, bài tụng ca
Antiphonal	Hát đối
Antiphony	Bài thánh ca
Antipodean	Đối cực
Antipoison	Thuốc giải độc
Antipole	Cực đối
Antiquary	Nhà khảo cổ
Antiquate	Làm cho thành cổ
Antiquated	Cổ, cổ xưa, cũ kỹ
Antique	Theo lối cổ, theo kiểu cổ
Antiquely	Theo lối cổ
Antiquity	Tình trạng cổ xưa
Antirabic	Phòng bệnh dại
Antirights	Phản quyền lợi
Antiriot	Chống bạo loạn
Antirust	Chống gỉ
Antisepsis	Sự khử trùng
Antiseptic	Khử trùng
Antiserum	Huyết thanh miễn dịch
Antisine	Acsin
Antislip	Chống tuột
Antisocial	Phản xã hội
Antisquama	Vảy kề gốc cánh
Antistatic	Chống tựnh điện
Antistyle	Mấu gốc lông cứng
Antitagent	Actang
Antitank	Chống xe tăng
Antitax	Chống thuế
Antitegula	Vảy kề gốc cánh
Antitheism	Thuyết vô thần
Antitheist	Người theo thuyết vô thần
Antitheses	Phép đối chọi
Antitone	Đs phản tự
Antitoxic	Trừ độc, tiêu độc
Antitrade	Thổi ngược lại gió alizê
Antitumour	Antitumoural
Antitype	Vật được tượng trưng
Antiunion	Chống hợp nhất
Antivenene	Thuốc giải độc
Antivenin	Thuốc chữa rắn cắn
Antiviral	Chống virut
Antiwar	Chống chiến tranh
Antiwhite	Chống da trắng
Antlered	Có gạc
Ant-bear	Thú ăn kiến lớn
Ant-eggs	Trứng kiến
Ant-heap	Tổ kiến
Ant-hill	Tổ kiến
Antonym	Từ trái nghĩa
Antonymic	Xem antonym
Antonymous	Xem antonym
Antonymy	Xem antonym
Antral	Xem antrum
Anuria	Bệnh khó đái
Anuroid	Dạng không đuôi
Anuual	Hằng năm
Anvil	Cái đe
Anvil-beak	Mũi đe
Anvil-bed	Để đe
Anxiety	Sự lo lắng
Anyone	Người nào, ai
Anyplace	Giống anywhere
Anytime	Bất cứ lúc nào
Aortal	Xem aorta
Apace	Nhanh, nhanh chóng, mau lẹ
Apache	Tên côn đồ
Aparejo	Số nhiều aparejos
Apart	Riêng ra, xa ra
Apartment	Căn phòng, buồng
Apartness	Xem apart
Apelike	Giống như khỉ
Ape-man	Khỉ nhân hình
Aper	Xem ape
Apercu	Tổng quan, đại cương
Aperient	Nhuận tràng
Aperiodic	Không tuần hoàn
Aperitif	Rượu khai vị
Aperitive	Nhuận tràng
Apertural	Xem aperture
Aperture	Khẩu độ, lỗ hổng
Apery	Sự bắt chước lố lăng
Apetaly	Xem apetalous
Apex	Đỉnh, chóp
Aphaeretic	Xem aphaeresis
Aphidicide	Thuốc trừ rệp rừng
Aphonic	Mất tiếng
Aphonous	Mất tiếng
Aphorism	Cách ngôn
Aphorismic	Có tính chất cách ngôn
Aphorist	Xem aphorism
Aphoristic	Có tính chất cách ngôn
Aphotic	Thiếu ánh sáng
Aphylly	Xem aphyllous
Apian	Thuộc ong, giống như ong
Apiarist	Người nuôi ong
Apiary	Đỗ ong
Apically	Xem apical
Apices	Đỉnh ngọc, chỏm
Apiculture	Nghề nuôi ong
Apiculus	Đỉnh nhỏ
Apileate	Không chóp
Apiologist	Nhà nghiên cứu về ong
Apiology	Khoa nghiên cứu về ong
Apish	Ngớ ngẩn như khỉ
Apishly	Xem apish
Apishness	Sự giống khỉ
Apitoxin	Nọc ong
Apivorous	Ăn ong
Aplanetic	Không động, bất động
Aplanetism	Hiện tượng không động
Aplerotic	Vơi, không đầy
